url,final_url,path,template,http_status,in_sitemap,indexable,intentional_noindex,json_ld_block_count,schema_types,schema_issue_count,broken_image_urls,issues,pass,error
https://www.kinexisdigital.com/es/services/social-media,https://www.kinexisdigital.com/es/services/social-media,/es/services/social-media,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/video-marketing,https://www.kinexisdigital.com/en/services/video-marketing,/en/services/video-marketing,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/video-marketing,https://www.kinexisdigital.com/es/services/video-marketing,/es/services/video-marketing,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/branding,https://www.kinexisdigital.com/en/services/branding,/en/services/branding,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/branding,https://www.kinexisdigital.com/es/services/branding,/es/services/branding,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/analytics,https://www.kinexisdigital.com/en/services/analytics,/en/services/analytics,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/analytics,https://www.kinexisdigital.com/es/services/analytics,/es/services/analytics,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/growth-consulting,https://www.kinexisdigital.com/en/services/growth-consulting,/en/services/growth-consulting,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/growth-consulting,https://www.kinexisdigital.com/es/services/growth-consulting,/es/services/growth-consulting,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/funnels,https://www.kinexisdigital.com/en/services/funnels,/en/services/funnels,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/funnels,https://www.kinexisdigital.com/es/services/funnels,/es/services/funnels,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/services/paid-ads,https://www.kinexisdigital.com/en/services/paid-ads,/en/services/paid-ads,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/es/services/paid-ads,https://www.kinexisdigital.com/es/services/paid-ads,/es/services/paid-ads,service,200,yes,yes,no,4,Answer;BreadcrumbList;ContactPoint;Country;FAQPage;ListItem;Organization;Question;Service,0,,,true,
https://www.kinexisdigital.com/en/industries/technology,https://www.kinexisdigital.com/en/industries/technology,/en/industries/technology,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/es/industries/technology,https://www.kinexisdigital.com/es/industries/technology,/es/industries/technology,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/en/industries/ecommerce,https://www.kinexisdigital.com/en/industries/ecommerce,/en/industries/ecommerce,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/es/industries/ecommerce,https://www.kinexisdigital.com/es/industries/ecommerce,/es/industries/ecommerce,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/en/industries/financial-services,https://www.kinexisdigital.com/en/industries/financial-services,/en/industries/financial-services,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/es/industries/financial-services,https://www.kinexisdigital.com/es/industries/financial-services,/es/industries/financial-services,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/en/industries/professional-services,https://www.kinexisdigital.com/en/industries/professional-services,/en/industries/professional-services,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/es/industries/professional-services,https://www.kinexisdigital.com/es/industries/professional-services,/es/industries/professional-services,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/en/industries/healthcare,https://www.kinexisdigital.com/en/industries/healthcare,/en/industries/healthcare,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/es/industries/healthcare,https://www.kinexisdigital.com/es/industries/healthcare,/es/industries/healthcare,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/en/industries/manufacturing,https://www.kinexisdigital.com/en/industries/manufacturing,/en/industries/manufacturing,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/es/industries/manufacturing,https://www.kinexisdigital.com/es/industries/manufacturing,/es/industries/manufacturing,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/en/industries/hospitality,https://www.kinexisdigital.com/en/industries/hospitality,/en/industries/hospitality,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/es/industries/hospitality,https://www.kinexisdigital.com/es/industries/hospitality,/es/industries/hospitality,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/en/industries/home-services,https://www.kinexisdigital.com/en/industries/home-services,/en/industries/home-services,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
https://www.kinexisdigital.com/es/industries/home-services,https://www.kinexisdigital.com/es/industries/home-services,/es/industries/home-services,other,200,yes,yes,no,2,BreadcrumbList;ContactPoint;ListItem;Organization,0,,,true,
